id;Специализация;Опыт в проектах;Интересы;Сколько времени в неделю(ч)
161;Machine Learning;Работал с данными;Model building;15
162;Data Science;Визуализация;Data viz;10
163;Android;Разработка UI;Mobile UX;10
164;Backend;API интеграции;Backend;20
165;QA;Тестировал мобильные приложения;Тестирование;15
166;Frontend;Дизайн компонентов;UI/UX;10
167;Data Science;ML регрессии;ML;20
168;Machine Learning;Линейные модели;ML;15
169;Backend;Работа с Docker;Dev backend;20
170;DevOps;Kubernetes;Cloud DevOps;25
171;Frontend;Работа с формами;UI forms;10
172;Web;Разрабатывал блоги;Web;10
173;Data Science;Оптимизировал модели;ML;15
174;Backend;Проектирование БД;DB Design;20
175;Machine Learning;Kaggle опыт;ML;30
176;Data Engineering;Потоковые данные;Streaming;20
177;Frontend;React hooks;Frontend;10
178;QA;Test Automation;QA;15
179;Backend;Go разработка;Backend;25
180;Data Science;Text processing;NLP;20
181;Machine Learning;PyTorch;Deep learning;20
182;Web;Верстал интерфейсы;UI;15
183;Data Engineering;Работа с Kafka;Streaming;25
184;Backend;Система логирования;Backend;20
185;Frontend;Vue.js компоненты;Frontend;10
186;Data Science;Анализ временных рядов;ML;20
187;Machine Learning;Оптимизация сети;DL;25
188;DevOps;GitOps;DevOps;20
189;QA;Unit tests;Тестирование;10
190;Backend;GraphQL API;Backend;20
191;Frontend;Сборка UI;Design systems;10
192;Data Engineering;ETL трансформации;Data pipeline;20
193;Web;Фронтенд разработка;Frontend;15
194;Machine Learning;ML эксперименты;ML;30
195;Data Science;Кластеризация;ML;15
196;Backend;Microservices;Backend;20
197;Frontend;Single Page Apps;Frontend;10
198;Data Engineering;Data warehouse;Big Data;25
199;Machine Learning;Модели классификации;ML;20
200;Data Science;Фичи и препроцессинг;Data prep;15
;;;;
